PMN (111), 9.4.2019, 19:3
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=2.7924e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	M Temp [K]	 Eps''   	  Cp' [F]	M Time M[s]	M AcV' [Vrms]
3.00000e+06	1.74755e+04	8.66820e-03	2.97200e-01	2.79120e+02	5.19372e+03	1.16786e-08	1.52832e+03	8.81289e-02
1.87500e+06	1.89180e+04	4.93489e-03	2.50076e-01	2.79127e+02	4.73093e+03	1.26426e-08	1.52949e+03	1.25253e-01
1.17188e+06	2.02445e+04	2.72069e-03	2.06140e-01	2.79131e+02	4.17320e+03	1.35291e-08	1.53118e+03	1.38792e-01
7.32422e+05	2.14700e+04	1.49399e-03	1.70775e-01	2.79134e+02	3.66654e+03	1.43481e-08	1.53239e+03	2.61537e-01
4.57764e+05	2.24744e+04	8.06109e-04	1.40843e-01	2.79144e+02	3.16536e+03	1.50193e-08	1.53361e+03	3.92623e-01
2.86102e+05	2.33242e+04	4.28357e-04	1.15385e-01	2.79149e+02	2.69126e+03	1.55872e-08	1.53470e+03	5.51881e-01
1.78814e+05	2.40331e+04	2.24673e-04	9.39747e-02	2.79152e+02	2.25850e+03	1.60610e-08	1.53570e+03	7.14360e-01
1.11759e+05	2.46021e+04	1.16324e-04	7.60476e-02	2.79154e+02	1.87093e+03	1.64413e-08	1.53681e+03	8.44493e-01
6.98492e+04	2.50549e+04	5.88294e-05	6.04243e-02	2.79159e+02	1.51392e+03	1.67438e-08	1.53800e+03	9.26820e-01
4.36558e+04	2.54101e+04	2.93494e-05	4.75578e-02	2.79168e+02	1.20845e+03	1.69812e-08	1.53965e+03	9.68697e-01
2.72848e+04	2.56859e+04	1.44494e-05	3.70600e-02	2.79173e+02	9.51919e+02	1.71655e-08	1.54071e+03	9.89827e-01
1.70530e+04	2.58920e+04	7.02336e-06	2.85923e-02	2.79178e+02	7.40311e+02	1.73033e-08	1.54233e+03	9.98940e-01
1.06581e+04	2.60421e+04	3.38976e-06	2.19524e-02	2.79184e+02	5.71688e+02	1.74036e-08	1.54393e+03	1.00311e+00
