PMN 25mkm, 24.5.2021, 17:33
Diameter[mm] 2.000e+00  Thickness[mm] 2.500e-02  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=2.858e+05  AC Volt  [Vrms]=2.000e-01
 Temp. [K]	 Eps'    	 Eps''   	 Sig' [S/cm]	Tan(Delta)  	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]
2.18551e+02	3.00655e+03	4.93434e+02	7.84495e-05	1.64120e-01	3.34525e-09	2.66059e+01	-1.62113e+02	2.18551e+02
2.20975e+02	3.13941e+03	5.31504e+02	8.45019e-05	1.69301e-01	3.49307e-09	2.62402e+01	-1.54992e+02	2.20975e+02
2.23376e+02	3.27698e+03	5.73442e+02	9.11695e-05	1.74991e-01	3.64614e-09	2.59342e+01	-1.48203e+02	2.23376e+02
2.25794e+02	3.42553e+03	6.19965e+02	9.85661e-05	1.80984e-01	3.81142e-09	2.56061e+01	-1.41483e+02	2.25794e+02
2.28292e+02	3.58993e+03	6.70443e+02	1.06592e-04	1.86757e-01	3.99434e-09	2.51612e+01	-1.34727e+02	2.28292e+02
2.30785e+02	3.76044e+03	7.27337e+02	1.15637e-04	1.93418e-01	4.18406e-09	2.48164e+01	-1.28304e+02	2.30785e+02
2.33345e+02	3.94511e+03	7.94049e+02	1.26243e-04	2.01274e-01	4.38953e-09	2.45421e+01	-1.21934e+02	2.33345e+02
2.35911e+02	4.13497e+03	8.69673e+02	1.38266e-04	2.10322e-01	4.60078e-09	2.43805e+01	-1.15920e+02	2.35911e+02
2.38404e+02	4.32658e+03	9.58145e+02	1.52332e-04	2.21455e-01	4.81398e-09	2.44218e+01	-1.10279e+02	2.38404e+02
2.40996e+02	4.52519e+03	1.08222e+03	1.72059e-04	2.39155e-01	5.03496e-09	2.50217e+01	-1.04625e+02	2.40996e+02
2.43715e+02	4.73777e+03	1.22709e+03	1.95090e-04	2.59000e-01	5.27149e-09	2.56424e+01	-9.90051e+01	2.43715e+02
2.46230e+02	4.92768e+03	1.39845e+03	2.22334e-04	2.83794e-01	5.48279e-09	2.66778e+01	-9.40040e+01	2.46230e+02
2.48810e+02	5.09879e+03	1.61917e+03	2.57426e-04	3.17560e-01	5.67318e-09	2.83180e+01	-8.91737e+01	2.48810e+02
2.51390e+02	5.26186e+03	1.85742e+03	2.95305e-04	3.52998e-01	5.85461e-09	2.98581e+01	-8.45843e+01	2.51390e+02
2.53980e+02	5.40378e+03	2.11357e+03	3.36030e-04	3.91129e-01	6.01252e-09	3.14217e+01	-8.03359e+01	2.53980e+02
2.56554e+02	5.48645e+03	2.41923e+03	3.84625e-04	4.40947e-01	6.10450e-09	3.36793e+01	-7.63794e+01	2.56554e+02
2.59173e+02	5.53931e+03	2.73035e+03	4.34088e-04	4.92904e-01	6.16332e-09	3.58328e+01	-7.26974e+01	2.59173e+02
2.61766e+02	5.55171e+03	3.03078e+03	4.81853e-04	5.45918e-01	6.17712e-09	3.79181e+01	-6.94575e+01	2.61766e+02
2.64319e+02	5.34050e+03	3.40578e+03	5.41474e-04	6.37728e-01	5.94211e-09	4.24896e+01	-6.66266e+01	2.64319e+02
2.67007e+02	4.84917e+03	3.78970e+03	6.02512e-04	7.81516e-01	5.39543e-09	5.00804e+01	-6.40810e+01	2.67007e+02
2.69731e+02	3.69167e+03	4.01761e+03	6.38746e-04	1.08829e+00	4.10754e-09	6.75498e+01	-6.20697e+01	2.69731e+02
2.72316e+02	4.74431e+03	4.10104e+03	6.52010e-04	8.64412e-01	5.27877e-09	5.21955e+01	-6.03826e+01	2.72316e+02
2.74912e+02	4.97710e+03	4.15828e+03	6.61111e-04	8.35482e-01	5.53778e-09	4.94817e+01	-5.92253e+01	2.74912e+02
2.77434e+02	4.03521e+03	4.26301e+03	6.77761e-04	1.05645e+00	4.48978e-09	6.19268e+01	-5.86177e+01	2.77434e+02
2.80046e+02	5.22044e+03	4.19608e+03	6.67121e-04	8.03779e-01	5.80854e-09	4.68180e+01	-5.82474e+01	2.80046e+02
2.82642e+02	5.10020e+03	4.20982e+03	6.69304e-04	8.25423e-01	5.67474e-09	4.81802e+01	-5.83703e+01	2.82642e+02
2.85232e+02	4.74861e+03	4.22381e+03	6.71529e-04	8.89483e-01	5.28355e-09	5.23434e+01	-5.88470e+01	2.85232e+02
2.87831e+02	4.69318e+03	4.16986e+03	6.62952e-04	8.88494e-01	5.22188e-09	5.29546e+01	-5.96005e+01	2.87831e+02
2.90563e+02	4.41857e+03	4.11746e+03	6.54621e-04	9.31855e-01	4.91632e-09	5.64986e+01	-6.06302e+01	2.90563e+02
