PMN (111) big, 24.5.2019, 13:49
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=2.861e+05  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Eps''   	  Cp' [F]	 Sig' [S/cm]	Tan(Delta)  	M Time M[s]	M Temp [K]
2.29001e+02	6.27022e+03	9.23423e+02	4.19030e-09	1.46978e-04	1.47271e-01	5.29282e+04	2.29001e+02
2.29000e+02	6.27130e+03	9.23616e+02	4.19102e-09	1.47008e-04	1.47277e-01	5.31373e+04	2.29000e+02
2.28617e+02	6.20134e+03	9.10979e+02	4.14427e-09	1.44997e-04	1.46900e-01	5.33468e+04	2.28617e+02
2.28011e+02	6.11660e+03	8.95692e+02	4.08764e-09	1.42564e-04	1.46436e-01	5.35556e+04	2.28011e+02
2.27982e+02	6.11395e+03	8.95112e+02	4.08587e-09	1.42471e-04	1.46405e-01	5.37641e+04	2.27982e+02
2.28000e+02	6.11606e+03	8.95301e+02	4.08728e-09	1.42502e-04	1.46385e-01	5.39729e+04	2.28000e+02
2.28013e+02	6.11829e+03	8.95520e+02	4.08877e-09	1.42536e-04	1.46368e-01	5.41818e+04	2.28013e+02
2.28003e+02	6.11706e+03	8.95291e+02	4.08795e-09	1.42500e-04	1.46360e-01	5.43906e+04	2.28003e+02
2.27992e+02	6.11591e+03	8.94943e+02	4.08718e-09	1.42445e-04	1.46330e-01	5.45992e+04	2.27992e+02
2.27997e+02	6.11689e+03	8.95036e+02	4.08783e-09	1.42459e-04	1.46322e-01	5.48084e+04	2.27997e+02
2.27999e+02	6.11735e+03	8.95041e+02	4.08814e-09	1.42460e-04	1.46312e-01	5.50175e+04	2.27999e+02
2.28009e+02	6.11856e+03	8.95015e+02	4.08895e-09	1.42456e-04	1.46279e-01	5.52267e+04	2.28009e+02
2.27989e+02	6.11543e+03	8.94327e+02	4.08686e-09	1.42347e-04	1.46241e-01	5.54362e+04	2.27989e+02
2.27999e+02	6.11671e+03	8.94493e+02	4.08772e-09	1.42373e-04	1.46238e-01	5.56460e+04	2.27999e+02
2.28000e+02	6.11703e+03	8.94527e+02	4.08792e-09	1.42378e-04	1.46236e-01	5.58551e+04	2.28000e+02
2.27991e+02	6.11503e+03	8.94176e+02	4.08659e-09	1.42323e-04	1.46226e-01	5.60657e+04	2.27991e+02
2.27999e+02	6.11622e+03	8.94312e+02	4.08739e-09	1.42344e-04	1.46220e-01	5.62753e+04	2.27999e+02
2.28005e+02	6.11691e+03	8.94402e+02	4.08785e-09	1.42359e-04	1.46218e-01	5.64854e+04	2.28005e+02
2.27991e+02	6.11522e+03	8.94055e+02	4.08672e-09	1.42303e-04	1.46202e-01	5.66949e+04	2.27991e+02
2.28005e+02	6.11624e+03	8.94241e+02	4.08740e-09	1.42333e-04	1.46208e-01	5.69043e+04	2.28005e+02
2.27999e+02	6.11482e+03	8.93954e+02	4.08645e-09	1.42287e-04	1.46195e-01	5.71136e+04	2.27999e+02
2.28000e+02	6.11527e+03	8.94007e+02	4.08675e-09	1.42296e-04	1.46193e-01	5.73227e+04	2.28000e+02
2.28001e+02	6.11634e+03	8.94222e+02	4.08747e-09	1.42330e-04	1.46202e-01	5.75325e+04	2.28001e+02
2.28011e+02	6.11729e+03	8.94365e+02	4.08810e-09	1.42353e-04	1.46203e-01	5.77419e+04	2.28011e+02
2.27992e+02	6.11274e+03	8.93508e+02	4.08506e-09	1.42216e-04	1.46171e-01	5.79515e+04	2.27992e+02
2.28009e+02	6.11659e+03	8.94090e+02	4.08764e-09	1.42309e-04	1.46174e-01	5.81612e+04	2.28009e+02
2.28001e+02	6.11584e+03	8.93921e+02	4.08713e-09	1.42282e-04	1.46165e-01	5.83707e+04	2.28001e+02
2.28004e+02	6.11543e+03	8.93934e+02	4.08686e-09	1.42284e-04	1.46177e-01	5.85801e+04	2.28004e+02
2.27997e+02	6.11504e+03	8.93774e+02	4.08659e-09	1.42259e-04	1.46160e-01	5.87892e+04	2.27997e+02
2.28000e+02	6.11394e+03	8.93553e+02	4.08586e-09	1.42223e-04	1.46150e-01	5.89983e+04	2.28000e+02
2.28010e+02	6.11551e+03	8.93871e+02	4.08691e-09	1.42274e-04	1.46164e-01	5.92092e+04	2.28010e+02
2.27996e+02	6.11405e+03	8.93558e+02	4.08593e-09	1.42224e-04	1.46148e-01	5.94187e+04	2.27996e+02
2.27997e+02	6.11351e+03	8.93417e+02	4.08558e-09	1.42202e-04	1.46138e-01	5.96283e+04	2.27997e+02
2.27994e+02	6.11394e+03	8.93466e+02	4.08586e-09	1.42209e-04	1.46136e-01	5.98383e+04	2.27994e+02
2.27998e+02	6.11407e+03	8.93390e+02	4.08595e-09	1.42197e-04	1.46120e-01	6.00476e+04	2.27998e+02
2.27999e+02	6.11230e+03	8.93165e+02	4.08477e-09	1.42162e-04	1.46126e-01	6.02572e+04	2.27999e+02
2.27997e+02	6.11335e+03	8.93308e+02	4.08547e-09	1.42184e-04	1.46124e-01	6.04668e+04	2.27997e+02
2.28008e+02	6.11431e+03	8.93443e+02	4.08611e-09	1.42206e-04	1.46123e-01	6.06764e+04	2.28008e+02
2.28010e+02	6.11534e+03	8.93664e+02	4.08680e-09	1.42241e-04	1.46135e-01	6.08859e+04	2.28010e+02
2.28000e+02	6.11277e+03	8.93162e+02	4.08508e-09	1.42161e-04	1.46114e-01	6.10956e+04	2.28000e+02
2.28011e+02	6.11478e+03	8.93459e+02	4.08642e-09	1.42208e-04	1.46115e-01	6.13052e+04	2.28011e+02
2.28002e+02	6.11278e+03	8.93152e+02	4.08509e-09	1.42160e-04	1.46112e-01	6.15148e+04	2.28002e+02
2.27998e+02	6.11284e+03	8.93044e+02	4.08513e-09	1.42142e-04	1.46093e-01	6.17242e+04	2.27998e+02
2.27992e+02	6.11213e+03	8.92945e+02	4.08465e-09	1.42127e-04	1.46094e-01	6.19343e+04	2.27992e+02
2.28000e+02	6.11208e+03	8.92876e+02	4.08462e-09	1.42116e-04	1.46084e-01	6.21441e+04	2.28000e+02
2.27999e+02	6.11246e+03	8.93002e+02	4.08487e-09	1.42136e-04	1.46095e-01	6.23536e+04	2.27999e+02
2.28005e+02	6.11316e+03	8.92990e+02	4.08534e-09	1.42134e-04	1.46077e-01	6.25632e+04	2.28005e+02
2.28006e+02	6.11263e+03	8.92720e+02	4.08498e-09	1.42091e-04	1.46045e-01	6.27723e+04	2.28006e+02
2.27983e+02	6.11003e+03	8.92155e+02	4.08325e-09	1.42001e-04	1.46015e-01	6.29815e+04	2.27983e+02
2.27992e+02	6.11054e+03	8.92238e+02	4.08359e-09	1.42014e-04	1.46016e-01	6.31914e+04	2.27992e+02
2.28006e+02	6.11290e+03	8.92652e+02	4.08517e-09	1.42080e-04	1.46028e-01	6.34004e+04	2.28006e+02
2.29922e+02	6.46467e+03	9.61523e+02	4.32025e-09	1.53042e-04	1.48735e-01	6.36103e+04	2.29922e+02
2.32391e+02	6.93443e+03	1.06081e+03	4.63418e-09	1.68845e-04	1.52977e-01	6.37610e+04	2.32391e+02
2.34582e+02	7.38229e+03	1.15584e+03	4.93349e-09	1.83970e-04	1.56569e-01	6.38940e+04	2.34582e+02
2.36714e+02	7.85286e+03	1.25725e+03	5.24796e-09	2.00112e-04	1.60101e-01	6.40244e+04	2.36714e+02
2.38479e+02	8.26923e+03	1.34894e+03	5.52621e-09	2.14706e-04	1.63128e-01	6.41315e+04	2.38479e+02
2.40333e+02	8.74192e+03	1.45622e+03	5.84210e-09	2.31781e-04	1.66579e-01	6.42456e+04	2.40333e+02
2.42180e+02	9.24667e+03	1.57449e+03	6.17942e-09	2.50606e-04	1.70277e-01	6.43580e+04	2.42180e+02
2.44040e+02	9.79316e+03	1.70622e+03	6.54463e-09	2.71573e-04	1.74226e-01	6.44714e+04	2.44040e+02
2.45891e+02	1.03758e+04	1.85045e+03	6.93401e-09	2.94530e-04	1.78343e-01	6.45836e+04	2.45891e+02
2.47755e+02	1.10047e+04	2.00929e+03	7.35431e-09	3.19811e-04	1.82584e-01	6.46973e+04	2.47755e+02
2.49525e+02	1.16481e+04	2.17496e+03	7.78428e-09	3.46180e-04	1.86722e-01	6.48064e+04	2.49525e+02
2.51451e+02	1.23974e+04	2.36977e+03	8.28500e-09	3.77187e-04	1.91151e-01	6.49234e+04	2.51451e+02
2.53413e+02	1.32011e+04	2.57995e+03	8.82214e-09	4.10640e-04	1.95434e-01	6.50429e+04	2.53413e+02
2.55320e+02	1.40440e+04	2.79658e+03	9.38540e-09	4.45121e-04	1.99130e-01	6.51600e+04	2.55320e+02
2.57255e+02	1.49393e+04	3.01935e+03	9.98374e-09	4.80578e-04	2.02108e-01	6.52763e+04	2.57255e+02
2.59023e+02	1.57997e+04	3.22217e+03	1.05587e-08	5.12860e-04	2.03938e-01	6.53860e+04	2.59023e+02
2.60810e+02	1.66973e+04	3.41715e+03	1.11586e-08	5.43895e-04	2.04653e-01	6.54946e+04	2.60810e+02
2.62680e+02	1.76651e+04	3.59986e+03	1.18053e-08	5.72976e-04	2.03784e-01	6.56057e+04	2.62680e+02
2.64640e+02	1.86752e+04	3.75030e+03	1.24804e-08	5.96921e-04	2.00817e-01	6.57190e+04	2.64640e+02
2.66498e+02	1.96054e+04	3.83890e+03	1.31020e-08	6.11022e-04	1.95808e-01	6.58320e+04	2.66498e+02
2.68391e+02	2.05320e+04	3.86084e+03	1.37212e-08	6.14516e-04	1.88040e-01	6.59473e+04	2.68391e+02
2.70268e+02	2.13560e+04	3.80015e+03	1.42719e-08	6.04855e-04	1.77943e-01	6.60616e+04	2.70268e+02
2.72202e+02	2.21338e+04	3.63505e+03	1.47917e-08	5.78576e-04	1.64231e-01	6.61749e+04	2.72202e+02
2.74270e+02	2.27501e+04	3.36692e+03	1.52036e-08	5.35900e-04	1.47996e-01	6.62898e+04	2.74270e+02
2.76125e+02	2.31334e+04	3.04705e+03	1.54597e-08	4.84986e-04	1.31716e-01	6.64038e+04	2.76125e+02
2.78000e+02	2.33333e+04	2.68003e+03	1.55933e-08	4.26570e-04	1.14859e-01	6.65180e+04	2.78000e+02
2.79852e+02	2.33486e+04	2.29669e+03	1.56035e-08	3.65555e-04	9.83652e-02	6.66309e+04	2.79852e+02
2.83588e+02	2.28796e+04	1.57274e+03	1.52901e-08	2.50327e-04	6.87399e-02	6.68580e+04	2.83588e+02
2.87355e+02	2.19402e+04	1.04083e+03	1.46623e-08	1.65666e-04	4.74396e-02	6.70861e+04	2.87355e+02
2.91182e+02	2.07821e+04	7.11558e+02	1.38884e-08	1.13256e-04	3.42390e-02	6.73144e+04	2.91182e+02
2.94941e+02	1.96007e+04	5.26680e+02	1.30989e-08	8.38296e-05	2.68705e-02	6.75411e+04	2.94941e+02
