PMN (111) big, 29.1.2020, 16:30
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=5.778e+00  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	Tan(Delta)  	M Time M[s]	M Temp [K]
2.31731e+02	1.03076e+04	8.95282e+02	2.87773e-09	6.88840e-09	8.68568e-02	2.56201e+04	2.31731e+02
2.31599e+02	1.02619e+04	8.90074e+02	2.86100e-09	6.85790e-09	8.67357e-02	2.57866e+04	2.31599e+02
2.31442e+02	1.02119e+04	8.85703e+02	2.84694e-09	6.82445e-09	8.67327e-02	2.59533e+04	2.31442e+02
2.31301e+02	1.01645e+04	8.80542e+02	2.83036e-09	6.79282e-09	8.66288e-02	2.61200e+04	2.31301e+02
2.31171e+02	1.01221e+04	8.74493e+02	2.81091e-09	6.76448e-09	8.63943e-02	2.62864e+04	2.31171e+02
2.31035e+02	1.00791e+04	8.70027e+02	2.79656e-09	6.73570e-09	8.63203e-02	2.64531e+04	2.31035e+02
2.30894e+02	1.00344e+04	8.64569e+02	2.77901e-09	6.70583e-09	8.61608e-02	2.66196e+04	2.30894e+02
2.30762e+02	9.98951e+03	8.59790e+02	2.76365e-09	6.67585e-09	8.60693e-02	2.67761e+04	2.30762e+02
2.30626e+02	9.94794e+03	8.54932e+02	2.74804e-09	6.64807e-09	8.59406e-02	2.69323e+04	2.30626e+02
2.30504e+02	9.90730e+03	8.51263e+02	2.73624e-09	6.62091e-09	8.59228e-02	2.70887e+04	2.30504e+02
2.30370e+02	9.86644e+03	8.45495e+02	2.71770e-09	6.59360e-09	8.56940e-02	2.72456e+04	2.30370e+02
2.30242e+02	9.82672e+03	8.40962e+02	2.70313e-09	6.56706e-09	8.55791e-02	2.74022e+04	2.30242e+02
2.30101e+02	9.78619e+03	8.36476e+02	2.68871e-09	6.53998e-09	8.54751e-02	2.75596e+04	2.30101e+02
