PMN (111), 2.4.2019, 11:26
Diameter[mm] 6.200e+00  Thickness[mm] 4.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Freq. [Hz]=3.725e+02  AC Volt  [Vrms]=1.000e+00
 Temp. [K]	 Eps'    	 Sig' [S/cm]	Tan(Delta)  	 Zs'' [Ohms]	 Eps''   	  Cp' [F]	 Zs' [Ohms]	M Temp [K]
3.03220e+02	1.71694e+04	1.93676e-09	5.44290e-04	-3.72342e+04	9.34515e+00	1.14741e-08	2.02662e+01	3.03220e+02
3.02422e+02	1.73904e+04	1.42492e-09	3.95359e-04	-3.67611e+04	6.87543e+00	1.16217e-08	1.45338e+01	3.02422e+02
3.01607e+02	1.76092e+04	2.82429e-09	7.73892e-04	-3.63043e+04	1.36276e+01	1.17680e-08	2.80956e+01	3.01607e+02
3.00815e+02	1.78214e+04	6.07858e-10	1.64578e-04	-3.58721e+04	2.93301e+00	1.19098e-08	5.90375e+00	3.00815e+02
2.99999e+02	1.80374e+04	2.02086e-09	5.40594e-04	-3.54423e+04	9.75093e+00	1.20542e-08	1.91599e+01	2.99999e+02
2.99198e+02	1.82679e+04	8.51396e-10	2.24882e-04	-3.49952e+04	4.10811e+00	1.22082e-08	7.86978e+00	2.99198e+02
2.98297e+02	1.85078e+04	3.30942e-09	8.62793e-04	-3.45415e+04	1.59684e+01	1.23685e-08	2.98022e+01	2.98297e+02
2.97354e+02	1.87798e+04	2.65317e-09	6.81689e-04	-3.40414e+04	1.28020e+01	1.25503e-08	2.32056e+01	2.97354e+02
2.96517e+02	1.90287e+04	2.21074e-09	5.60582e-04	-3.35960e+04	1.06671e+01	1.27166e-08	1.88333e+01	2.96517e+02
2.95675e+02	1.92688e+04	1.71745e-09	4.30070e-04	-3.31774e+04	8.28694e+00	1.28771e-08	1.42686e+01	2.95675e+02
2.94872e+02	1.95007e+04	4.02127e-09	9.95002e-04	-3.27829e+04	1.94032e+01	1.30320e-08	3.26191e+01	2.94872e+02
2.94048e+02	1.97526e+04	3.04430e-09	7.43658e-04	-3.23648e+04	1.46892e+01	1.32004e-08	2.40683e+01	2.94048e+02
2.93210e+02	2.00014e+04	3.58401e-09	8.64608e-04	-3.19622e+04	1.72934e+01	1.33667e-08	2.76348e+01	2.93210e+02
2.92404e+02	2.02569e+04	1.42479e-09	3.39382e-04	-3.15591e+04	6.87482e+00	1.35374e-08	1.07106e+01	2.92404e+02
2.91559e+02	2.05229e+04	1.16271e-09	2.73366e-04	-3.11501e+04	5.61025e+00	1.37151e-08	8.51538e+00	2.91559e+02
2.90755e+02	2.07664e+04	3.13144e-09	7.27602e-04	-3.07848e+04	1.51097e+01	1.38779e-08	2.23991e+01	2.90755e+02
2.89886e+02	2.10595e+04	4.32149e-09	9.90140e-04	-3.03564e+04	2.08518e+01	1.40738e-08	3.00570e+01	2.89886e+02
2.89070e+02	2.13233e+04	4.97108e-09	1.12488e-03	-2.99807e+04	2.39862e+01	1.42501e-08	3.37248e+01	2.89070e+02
2.88261e+02	2.15765e+04	4.67615e-09	1.04573e-03	-2.96289e+04	2.25631e+01	1.44193e-08	3.09838e+01	2.88261e+02
2.87436e+02	2.18625e+04	4.04179e-09	8.92039e-04	-2.92413e+04	1.95022e+01	1.46104e-08	2.60844e+01	2.87436e+02
2.86622e+02	2.21231e+04	4.01140e-09	8.74904e-04	-2.88969e+04	1.93556e+01	1.47846e-08	2.52820e+01	2.86622e+02
2.85818e+02	2.23993e+04	6.51429e-09	1.40327e-03	-2.85405e+04	3.14324e+01	1.49692e-08	4.00501e+01	2.85818e+02
2.84924e+02	2.26992e+04	5.69922e-09	1.21148e-03	-2.81634e+04	2.74996e+01	1.51696e-08	3.41193e+01	2.84924e+02
2.84244e+02	2.29419e+04	5.82030e-09	1.22413e-03	-2.78655e+04	2.80838e+01	1.53318e-08	3.41109e+01	2.84244e+02
2.83175e+02	2.32994e+04	7.63764e-09	1.58170e-03	-2.74379e+04	3.68528e+01	1.55707e-08	4.33986e+01	2.83175e+02
2.82362e+02	2.35768e+04	7.21834e-09	1.47728e-03	-2.71151e+04	3.48296e+01	1.57561e-08	4.00565e+01	2.82362e+02
2.81511e+02	2.38816e+04	9.48464e-09	1.91632e-03	-2.67690e+04	4.57648e+01	1.59597e-08	5.12981e+01	2.81511e+02
2.80764e+02	2.41267e+04	8.38364e-09	1.67667e-03	-2.64972e+04	4.04523e+01	1.61235e-08	4.44269e+01	2.80764e+02
2.79974e+02	2.44183e+04	8.84701e-09	1.74820e-03	-2.61806e+04	4.26881e+01	1.63184e-08	4.57690e+01	2.79974e+02
2.79223e+02	2.46984e+04	1.12964e-08	2.20690e-03	-2.58837e+04	5.45069e+01	1.65056e-08	5.71227e+01	2.79223e+02
2.78413e+02	2.49872e+04	9.70918e-09	1.87489e-03	-2.55846e+04	4.68482e+01	1.66986e-08	4.79683e+01	2.78413e+02
2.77646e+02	2.52659e+04	1.54510e-08	2.95076e-03	-2.53023e+04	7.45535e+01	1.68848e-08	7.46610e+01	2.77646e+02
2.76872e+02	2.55398e+04	1.36458e-08	2.57805e-03	-2.50309e+04	6.58429e+01	1.70679e-08	6.45310e+01	2.76872e+02
2.76089e+02	2.58297e+04	2.01632e-08	3.76662e-03	-2.47498e+04	9.72906e+01	1.72616e-08	9.32233e+01	2.76089e+02
2.75320e+02	2.61245e+04	2.09846e-08	3.87581e-03	-2.44705e+04	1.01254e+02	1.74587e-08	9.48429e+01	2.75320e+02
2.74518e+02	2.64045e+04	2.71396e-08	4.95949e-03	-2.42108e+04	1.30953e+02	1.76458e-08	1.20073e+02	2.74518e+02
2.73745e+02	2.67065e+04	2.80971e-08	5.07640e-03	-2.39370e+04	1.35573e+02	1.78476e-08	1.21514e+02	2.73745e+02
2.72970e+02	2.69959e+04	3.58244e-08	6.40314e-03	-2.36800e+04	1.72858e+02	1.80410e-08	1.51626e+02	2.72970e+02
2.72206e+02	2.72718e+04	3.97903e-08	7.04003e-03	-2.34402e+04	1.91994e+02	1.82254e-08	1.65020e+02	2.72206e+02
2.71456e+02	2.75706e+04	4.65816e-08	8.15228e-03	-2.31858e+04	2.24763e+02	1.84250e-08	1.89017e+02	2.71456e+02
2.70675e+02	2.78405e+04	5.40408e-08	9.36604e-03	-2.29606e+04	2.60755e+02	1.86054e-08	2.15050e+02	2.70675e+02
2.69898e+02	2.81326e+04	6.24838e-08	1.07169e-02	-2.27216e+04	3.01494e+02	1.88006e-08	2.43505e+02	2.69898e+02
2.69108e+02	2.84165e+04	8.17191e-08	1.38760e-02	-2.24928e+04	3.94307e+02	1.89903e-08	3.12110e+02	2.69108e+02
2.68320e+02	2.86811e+04	9.37432e-08	1.57709e-02	-2.22841e+04	4.52325e+02	1.91672e-08	3.51439e+02	2.68320e+02
2.67537e+02	2.89398e+04	1.13259e-07	1.88837e-02	-2.20825e+04	5.46491e+02	1.93401e-08	4.16999e+02	2.67537e+02
2.66734e+02	2.92102e+04	1.26647e-07	2.09204e-02	-2.18763e+04	6.11089e+02	1.95208e-08	4.57661e+02	2.66734e+02
2.65972e+02	2.94384e+04	1.47891e-07	2.42404e-02	-2.17034e+04	7.13598e+02	1.96733e-08	5.26099e+02	2.65972e+02
2.65154e+02	2.96494e+04	1.76377e-07	2.87036e-02	-2.15439e+04	8.51045e+02	1.98143e-08	6.18387e+02	2.65154e+02
2.64406e+02	2.98391e+04	2.03593e-07	3.29221e-02	-2.14013e+04	9.82367e+02	1.99411e-08	7.04576e+02	2.64406e+02
2.63470e+02	3.00256e+04	2.37389e-07	3.81486e-02	-2.12605e+04	1.14544e+03	2.00657e-08	8.11060e+02	2.63470e+02
2.62605e+02	3.01575e+04	2.73724e-07	4.37953e-02	-2.11578e+04	1.32076e+03	2.01539e-08	9.26611e+02	2.62605e+02
2.61820e+02	3.02297e+04	3.07294e-07	4.90491e-02	-2.10970e+04	1.48274e+03	2.02021e-08	1.03479e+03	2.61820e+02
2.61082e+02	3.02946e+04	3.46466e-07	5.51831e-02	-2.10384e+04	1.67175e+03	2.02455e-08	1.16096e+03	2.61082e+02
2.60226e+02	3.02757e+04	3.85204e-07	6.13914e-02	-2.10363e+04	1.85867e+03	2.02328e-08	1.29145e+03	2.60226e+02
2.59380e+02	3.02156e+04	4.23288e-07	6.75951e-02	-2.10614e+04	2.04243e+03	2.01927e-08	1.42364e+03	2.59380e+02
2.58629e+02	3.01411e+04	4.57932e-07	7.33083e-02	-2.10965e+04	2.20959e+03	2.01429e-08	1.54655e+03	2.58629e+02
2.57725e+02	2.99614e+04	5.01081e-07	8.06968e-02	-2.11990e+04	2.41779e+03	2.00228e-08	1.71069e+03	2.57725e+02
2.56804e+02	2.97292e+04	5.42878e-07	8.81108e-02	-2.13381e+04	2.61947e+03	1.98676e-08	1.88012e+03	2.56804e+02
2.55891e+02	2.94407e+04	5.79268e-07	9.49383e-02	-2.15205e+04	2.79505e+03	1.96748e-08	2.04312e+03	2.55891e+02
2.55007e+02	2.91117e+04	6.11555e-07	1.01363e-01	-2.17365e+04	2.95084e+03	1.94550e-08	2.20328e+03	2.55007e+02
2.54115e+02	2.87186e+04	6.39818e-07	1.07499e-01	-2.20062e+04	3.08722e+03	1.91922e-08	2.36564e+03	2.54115e+02
2.53229e+02	2.83137e+04	6.67355e-07	1.13729e-01	-2.22905e+04	3.22009e+03	1.89216e-08	2.53508e+03	2.53229e+02
2.52412e+02	2.78807e+04	6.91796e-07	1.19725e-01	-2.26054e+04	3.33802e+03	1.86323e-08	2.70644e+03	2.52412e+02
2.51465e+02	2.73754e+04	7.05693e-07	1.24384e-01	-2.29969e+04	3.40508e+03	1.82946e-08	2.86045e+03	2.51465e+02
2.50602e+02	2.69226e+04	7.19472e-07	1.28946e-01	-2.33571e+04	3.47156e+03	1.79920e-08	3.01180e+03	2.50602e+02
2.49811e+02	2.64664e+04	7.26595e-07	1.32467e-01	-2.37382e+04	3.50593e+03	1.76872e-08	3.14452e+03	2.49811e+02
2.48950e+02	2.59618e+04	7.30025e-07	1.35680e-01	-2.41792e+04	3.52248e+03	1.73499e-08	3.28062e+03	2.48950e+02
2.48081e+02	2.54580e+04	7.34081e-07	1.39133e-01	-2.46347e+04	3.54205e+03	1.70132e-08	3.42750e+03	2.48081e+02
2.47273e+02	2.49877e+04	7.36294e-07	1.42179e-01	-2.50772e+04	3.55273e+03	1.66990e-08	3.56544e+03	2.47273e+02
2.46382e+02	2.44833e+04	7.33254e-07	1.44509e-01	-2.55771e+04	3.53806e+03	1.63619e-08	3.69613e+03	2.46382e+02
2.45536e+02	2.40439e+04	7.31337e-07	1.46765e-01	-2.60278e+04	3.52881e+03	1.60682e-08	3.81997e+03	2.45536e+02
2.44726e+02	2.36100e+04	7.26640e-07	1.48502e-01	-2.64928e+04	3.50614e+03	1.57783e-08	3.93424e+03	2.44726e+02
2.43630e+02	2.30676e+04	7.25306e-07	1.51716e-01	-2.70902e+04	3.49971e+03	1.54157e-08	4.11001e+03	2.43630e+02
2.42731e+02	2.26558e+04	7.22417e-07	1.53858e-01	-2.75649e+04	3.48577e+03	1.51406e-08	4.24108e+03	2.42731e+02
2.41854e+02	2.22767e+04	7.19263e-07	1.55793e-01	-2.80176e+04	3.47055e+03	1.48872e-08	4.36493e+03	2.41854e+02
2.41023e+02	2.19763e+04	7.17627e-07	1.57563e-01	-2.83853e+04	3.46266e+03	1.46864e-08	4.47248e+03	2.41023e+02
2.40163e+02	2.16970e+04	7.11527e-07	1.58235e-01	-2.87447e+04	3.43322e+03	1.44998e-08	4.54842e+03	2.40163e+02
2.39314e+02	2.14249e+04	7.12439e-07	1.60450e-01	-2.90898e+04	3.43762e+03	1.43179e-08	4.66746e+03	2.39314e+02
2.38388e+02	2.11274e+04	7.05283e-07	1.61075e-01	-2.94935e+04	3.40310e+03	1.41192e-08	4.75067e+03	2.38388e+02
2.37556e+02	2.08689e+04	6.96608e-07	1.61065e-01	-2.98591e+04	3.36124e+03	1.39464e-08	4.80924e+03	2.37556e+02
2.36638e+02	2.05589e+04	6.83430e-07	1.60401e-01	-3.03156e+04	3.29765e+03	1.37392e-08	4.86264e+03	2.36638e+02
2.35816e+02	2.02542e+04	6.67034e-07	1.58908e-01	-3.07860e+04	3.21854e+03	1.35356e-08	4.89212e+03	2.35816e+02
2.34960e+02	1.99077e+04	6.51998e-07	1.58029e-01	-3.13303e+04	3.14599e+03	1.33040e-08	4.95108e+03	2.34960e+02
2.34111e+02	1.95625e+04	6.33334e-07	1.56214e-01	-3.19009e+04	3.05593e+03	1.30733e-08	4.98336e+03	2.34111e+02
2.33244e+02	1.92002e+04	6.12754e-07	1.53989e-01	-3.25247e+04	2.95663e+03	1.28312e-08	5.00846e+03	2.33244e+02
2.32419e+02	1.88755e+04	5.99593e-07	1.53274e-01	-3.30913e+04	2.89312e+03	1.26142e-08	5.07205e+03	2.32419e+02
2.31458e+02	1.85202e+04	5.83252e-07	1.51957e-01	-3.37394e+04	2.81428e+03	1.23768e-08	5.12693e+03	2.31458e+02
2.30584e+02	1.82198e+04	5.68546e-07	1.50568e-01	-3.43099e+04	2.74332e+03	1.21760e-08	5.16599e+03	2.30584e+02
2.29649e+02	1.78891e+04	5.51936e-07	1.48871e-01	-3.49613e+04	2.66317e+03	1.19551e-08	5.20472e+03	2.29649e+02
2.28758e+02	1.75219e+04	5.31489e-07	1.46360e-01	-3.57199e+04	2.56451e+03	1.17097e-08	5.22797e+03	2.28758e+02
2.28017e+02	1.71716e+04	5.10456e-07	1.43436e-01	-3.64790e+04	2.46303e+03	1.14755e-08	5.23241e+03	2.28017e+02
2.27215e+02	1.66235e+04	4.75933e-07	1.38145e-01	-3.77369e+04	2.29645e+03	1.11092e-08	5.21315e+03	2.27215e+02
2.26449e+02	1.59721e+04	4.31560e-07	1.30374e-01	-3.93565e+04	2.08234e+03	1.06739e-08	5.13107e+03	2.26449e+02
2.25672e+02	1.52232e+04	3.85035e-07	1.22041e-01	-4.13783e+04	1.85785e+03	1.01734e-08	5.04985e+03	2.25672e+02
2.24858e+02	1.43856e+04	3.34889e-07	1.12327e-01	-4.38857e+04	1.61589e+03	9.61372e-09	4.92954e+03	2.24858e+02
2.23813e+02	1.32374e+04	2.71740e-07	9.90517e-02	-4.78250e+04	1.31119e+03	8.84636e-09	4.73715e+03	2.23813e+02
2.22934e+02	1.24090e+04	2.30812e-07	8.97494e-02	-5.11065e+04	1.11370e+03	8.29276e-09	4.58678e+03	2.22934e+02
2.22031e+02	1.16051e+04	1.95186e-07	8.11540e-02	-5.47264e+04	9.41802e+02	7.75554e-09	4.44127e+03	2.22031e+02
2.21254e+02	1.09708e+04	1.69096e-07	7.43714e-02	-5.79512e+04	8.15915e+02	7.33165e-09	4.30991e+03	2.21254e+02
2.20457e+02	1.03371e+04	1.45675e-07	6.79983e-02	-6.15598e+04	7.02903e+02	6.90811e-09	4.18596e+03	2.20457e+02
2.19597e+02	9.72212e+03	1.25662e-07	6.23668e-02	-6.55014e+04	6.06337e+02	6.49716e-09	4.08511e+03	2.19597e+02
2.18735e+02	9.18564e+03	1.08498e-07	5.69932e-02	-6.93712e+04	5.23520e+02	6.13864e-09	3.95369e+03	2.18735e+02
2.17776e+02	8.61904e+03	9.31393e-08	5.21416e-02	-7.39706e+04	4.49411e+02	5.75999e-09	3.85695e+03	2.17776e+02
2.16923e+02	8.17729e+03	8.15332e-08	4.81101e-02	-7.79981e+04	3.93410e+02	5.46477e-09	3.75250e+03	2.16923e+02
2.16106e+02	7.78184e+03	7.26082e-08	4.50209e-02	-8.19852e+04	3.50345e+02	5.20050e-09	3.69105e+03	2.16106e+02
2.15299e+02	7.41861e+03	6.47596e-08	4.21204e-02	-8.60211e+04	3.12475e+02	4.95776e-09	3.62324e+03	2.15299e+02
2.14505e+02	7.10033e+03	5.85821e-08	3.98105e-02	-8.98941e+04	2.82667e+02	4.74506e-09	3.57872e+03	2.14505e+02
2.13684e+02	6.78933e+03	5.24461e-08	3.72733e-02	-9.40303e+04	2.53060e+02	4.53721e-09	3.50481e+03	2.13684e+02
2.12870e+02	6.44259e+03	4.73472e-08	3.54605e-02	-9.91041e+04	2.28457e+02	4.30549e-09	3.51428e+03	2.12870e+02
2.12063e+02	6.17958e+03	4.31537e-08	3.36953e-02	-1.03335e+05	2.08223e+02	4.12973e-09	3.48190e+03	2.12063e+02
2.11121e+02	5.89977e+03	3.90238e-08	3.19157e-02	-1.08248e+05	1.88296e+02	3.94274e-09	3.45481e+03	2.11121e+02
2.10219e+02	5.65467e+03	3.55135e-08	3.03038e-02	-1.12951e+05	1.71358e+02	3.77894e-09	3.42286e+03	2.10219e+02
2.09369e+02	5.43667e+03	3.27750e-08	2.90885e-02	-1.17489e+05	1.58144e+02	3.63325e-09	3.41758e+03	2.09369e+02
2.08542e+02	5.23587e+03	3.02939e-08	2.79175e-02	-1.22003e+05	1.46173e+02	3.49906e-09	3.40602e+03	2.08542e+02
2.07617e+02	5.03444e+03	2.76663e-08	2.65162e-02	-1.26894e+05	1.33494e+02	3.36445e-09	3.36475e+03	2.07617e+02
2.06755e+02	4.85681e+03	2.59066e-08	2.57377e-02	-1.31540e+05	1.25003e+02	3.24574e-09	3.38555e+03	2.06755e+02
2.05890e+02	4.69729e+03	2.42013e-08	2.48600e-02	-1.36013e+05	1.16775e+02	3.13914e-09	3.38129e+03	2.05890e+02
2.04983e+02	4.53105e+03	2.24699e-08	2.39283e-02	-1.41010e+05	1.08420e+02	3.02804e-09	3.37413e+03	2.04983e+02
2.04137e+02	4.38835e+03	2.11010e-08	2.32013e-02	-1.45601e+05	1.01815e+02	2.93267e-09	3.37812e+03	2.04137e+02
2.03311e+02	4.25893e+03	2.00179e-08	2.26792e-02	-1.50028e+05	9.65892e+01	2.84619e-09	3.40253e+03	2.03311e+02
2.02425e+02	4.12866e+03	1.87896e-08	2.19594e-02	-1.54767e+05	9.06628e+01	2.75912e-09	3.39860e+03	2.02425e+02
2.01592e+02	4.01357e+03	1.78136e-08	2.14157e-02	-1.59209e+05	8.59535e+01	2.68221e-09	3.40958e+03	2.01592e+02
2.00638e+02	3.88741e+03	1.69309e-08	2.10150e-02	-1.64379e+05	8.16939e+01	2.59790e-09	3.45441e+03	2.00638e+02
1.99826e+02	3.78885e+03	1.61289e-08	2.05404e-02	-1.68658e+05	7.78244e+01	2.53203e-09	3.46430e+03	1.99826e+02
1.99054e+02	3.70060e+03	1.55087e-08	2.02215e-02	-1.72682e+05	7.48317e+01	2.47306e-09	3.49190e+03	1.99054e+02
1.98350e+02	3.62168e+03	1.49009e-08	1.98524e-02	-1.76448e+05	7.18989e+01	2.42032e-09	3.50291e+03	1.98350e+02
1.97580e+02	3.53911e+03	1.44587e-08	1.97127e-02	-1.80566e+05	6.97654e+01	2.36514e-09	3.55944e+03	1.97580e+02
1.96866e+02	3.46646e+03	1.39300e-08	1.93898e-02	-1.84352e+05	6.72141e+01	2.31659e-09	3.57456e+03	1.96866e+02
1.96064e+02	3.38596e+03	1.33610e-08	1.90400e-02	-1.88738e+05	6.44687e+01	2.26279e-09	3.59357e+03	1.96064e+02
1.95316e+02	3.31772e+03	1.30311e-08	1.89519e-02	-1.92620e+05	6.28769e+01	2.21718e-09	3.65052e+03	1.95316e+02
1.94534e+02	3.24634e+03	1.25771e-08	1.86938e-02	-1.96857e+05	6.06864e+01	2.16948e-09	3.68001e+03	1.94534e+02
1.93742e+02	3.17773e+03	1.21698e-08	1.84790e-02	-2.01109e+05	5.87213e+01	2.12363e-09	3.71630e+03	1.93742e+02
1.92917e+02	3.11121e+03	1.17582e-08	1.82358e-02	-2.05411e+05	5.67352e+01	2.07918e-09	3.74583e+03	1.92917e+02
1.92106e+02	3.04683e+03	1.15033e-08	1.82174e-02	-2.09752e+05	5.55053e+01	2.03615e-09	3.82114e+03	1.92106e+02
1.91222e+02	2.97992e+03	1.11450e-08	1.80462e-02	-2.14463e+05	5.37763e+01	1.99144e-09	3.87024e+03	1.91222e+02
1.90386e+02	2.92125e+03	1.07991e-08	1.78373e-02	-2.18772e+05	5.21071e+01	1.95223e-09	3.90229e+03	1.90386e+02
1.89558e+02	2.86551e+03	1.05600e-08	1.77816e-02	-2.23027e+05	5.09535e+01	1.91498e-09	3.96579e+03	1.89558e+02
1.88766e+02	2.81257e+03	1.02280e-08	1.75468e-02	-2.27227e+05	4.93517e+01	1.87960e-09	3.98711e+03	1.88766e+02
1.87943e+02	2.76082e+03	9.98738e-09	1.74552e-02	-2.31488e+05	4.81906e+01	1.84502e-09	4.04066e+03	1.87943e+02
1.87163e+02	2.71219e+03	9.84585e-09	1.75164e-02	-2.35638e+05	4.75077e+01	1.81252e-09	4.12751e+03	1.87163e+02
1.86370e+02	2.66585e+03	9.64418e-09	1.74558e-02	-2.39734e+05	4.65346e+01	1.78155e-09	4.18474e+03	1.86370e+02
1.85532e+02	2.61920e+03	9.46887e-09	1.74438e-02	-2.44004e+05	4.56887e+01	1.75037e-09	4.25636e+03	1.85532e+02
1.84723e+02	2.57449e+03	9.28562e-09	1.74033e-02	-2.48242e+05	4.48045e+01	1.72050e-09	4.32022e+03	1.84723e+02
1.83863e+02	2.52761e+03	9.12964e-09	1.74283e-02	-2.52846e+05	4.40519e+01	1.68917e-09	4.40666e+03	1.83863e+02
1.83050e+02	2.48700e+03	9.04008e-09	1.75391e-02	-2.56974e+05	4.36197e+01	1.66203e-09	4.50708e+03	1.83050e+02
1.82244e+02	2.44681e+03	8.93248e-09	1.76150e-02	-2.61194e+05	4.31006e+01	1.63517e-09	4.60092e+03	1.82244e+02
1.81440e+02	2.40804e+03	8.84221e-09	1.77177e-02	-2.65398e+05	4.26650e+01	1.60926e-09	4.70224e+03	1.81440e+02
1.80657e+02	2.37215e+03	8.67343e-09	1.76425e-02	-2.69414e+05	4.18506e+01	1.58527e-09	4.75314e+03	1.80657e+02
1.79883e+02	2.33638e+03	8.56302e-09	1.76845e-02	-2.73538e+05	4.13179e+01	1.56137e-09	4.83739e+03	1.79883e+02
1.79052e+02	2.30104e+03	8.46300e-09	1.77464e-02	-2.77739e+05	4.08352e+01	1.53775e-09	4.92886e+03	1.79052e+02
1.78155e+02	2.26214e+03	8.35961e-09	1.78310e-02	-2.82513e+05	4.03364e+01	1.51176e-09	5.03751e+03	1.78155e+02
1.77245e+02	2.22702e+03	8.30022e-09	1.79836e-02	-2.86968e+05	4.00498e+01	1.48828e-09	5.16073e+03	1.77245e+02
1.76405e+02	2.19364e+03	8.24539e-09	1.81366e-02	-2.91333e+05	3.97852e+01	1.46598e-09	5.28378e+03	1.76405e+02
1.75506e+02	2.16006e+03	8.14045e-09	1.81842e-02	-2.95862e+05	3.92789e+01	1.44354e-09	5.38000e+03	1.75506e+02
1.74677e+02	2.12865e+03	8.12404e-09	1.84153e-02	-3.00225e+05	3.91997e+01	1.42255e-09	5.52873e+03	1.74677e+02
1.73813e+02	2.09734e+03	8.11642e-09	1.86727e-02	-3.04703e+05	3.91629e+01	1.40162e-09	5.68962e+03	1.73813e+02
1.72954e+02	2.06670e+03	8.08618e-09	1.88789e-02	-3.09219e+05	3.90170e+01	1.38114e-09	5.83773e+03	1.72954e+02
1.72099e+02	2.03714e+03	8.04549e-09	1.90564e-02	-3.13703e+05	3.88207e+01	1.36139e-09	5.97806e+03	1.72099e+02
1.71236e+02	2.00863e+03	8.03194e-09	1.92944e-02	-3.18153e+05	3.87553e+01	1.34234e-09	6.13858e+03	1.71236e+02
1.70378e+02	1.98065e+03	8.01765e-09	1.95322e-02	-3.22645e+05	3.86863e+01	1.32364e-09	6.30197e+03	1.70378e+02
1.69538e+02	1.95417e+03	8.05506e-09	1.98892e-02	-3.27012e+05	3.88669e+01	1.30594e-09	6.50403e+03	1.69538e+02
1.68691e+02	1.92791e+03	7.99160e-09	2.00013e-02	-3.31464e+05	3.85607e+01	1.28840e-09	6.62970e+03	1.68691e+02
1.67845e+02	1.90196e+03	8.00539e-09	2.03091e-02	-3.35982e+05	3.86272e+01	1.27106e-09	6.82350e+03	1.67845e+02
1.67014e+02	1.87757e+03	8.02022e-09	2.06110e-02	-3.40342e+05	3.86987e+01	1.25476e-09	7.01481e+03	1.67014e+02
1.66149e+02	1.85294e+03	8.02991e-09	2.09102e-02	-3.44862e+05	3.87455e+01	1.23830e-09	7.21115e+03	1.66149e+02
1.65317e+02	1.82979e+03	8.06782e-09	2.12748e-02	-3.49221e+05	3.89284e+01	1.22282e-09	7.42962e+03	1.65317e+02
1.64506e+02	1.80719e+03	8.06134e-09	2.15236e-02	-3.53585e+05	3.88972e+01	1.20772e-09	7.61042e+03	1.64506e+02
1.63670e+02	1.78498e+03	8.11003e-09	2.19230e-02	-3.57978e+05	3.91321e+01	1.19288e-09	7.84796e+03	1.63670e+02
1.62852e+02	1.76361e+03	8.13867e-09	2.22670e-02	-3.62309e+05	3.92703e+01	1.17860e-09	8.06754e+03	1.62852e+02
1.62028e+02	1.74252e+03	8.17826e-09	2.26462e-02	-3.66689e+05	3.94613e+01	1.16450e-09	8.30409e+03	1.62028e+02
1.61217e+02	1.72248e+03	8.20869e-09	2.29949e-02	-3.70949e+05	3.96081e+01	1.15111e-09	8.52992e+03	1.61217e+02
1.60402e+02	1.70252e+03	8.29487e-09	2.35086e-02	-3.75288e+05	4.00240e+01	1.13777e-09	8.82250e+03	1.60402e+02
1.59596e+02	1.68344e+03	8.33220e-09	2.38821e-02	-3.79535e+05	4.02041e+01	1.12502e-09	9.06407e+03	1.59596e+02
1.58768e+02	1.66404e+03	8.37023e-09	2.42708e-02	-3.83953e+05	4.03876e+01	1.11206e-09	9.31884e+03	1.58768e+02
1.57964e+02	1.64532e+03	8.43417e-09	2.47344e-02	-3.88312e+05	4.06961e+01	1.09955e-09	9.60467e+03	1.57964e+02
1.57147e+02	1.62733e+03	8.48509e-09	2.51589e-02	-3.92598e+05	4.09418e+01	1.08752e-09	9.87733e+03	1.57147e+02
1.56331e+02	1.60913e+03	8.53873e-09	2.56044e-02	-3.97030e+05	4.12007e+01	1.07536e-09	1.01657e+04	1.56331e+02
1.55512e+02	1.59147e+03	8.63559e-09	2.61821e-02	-4.01422e+05	4.16680e+01	1.06356e-09	1.05101e+04	1.55512e+02
1.54711e+02	1.57444e+03	8.69791e-09	2.66563e-02	-4.05755e+05	4.19687e+01	1.05217e-09	1.08159e+04	1.54711e+02
1.53891e+02	1.55757e+03	8.75840e-09	2.71324e-02	-4.10138e+05	4.22606e+01	1.04090e-09	1.11280e+04	1.53891e+02
1.53076e+02	1.54113e+03	8.88716e-09	2.78250e-02	-4.14499e+05	4.28819e+01	1.02991e-09	1.15334e+04	1.53076e+02
1.52276e+02	1.52453e+03	8.91107e-09	2.82036e-02	-4.19001e+05	4.29972e+01	1.01882e-09	1.18173e+04	1.52276e+02
1.51580e+02	1.51206e+03	9.05511e-09	2.88959e-02	-4.22442e+05	4.36923e+01	1.01049e-09	1.22068e+04	1.51580e+02
1.51874e+02	1.51949e+03	8.93616e-09	2.83767e-02	-4.20386e+05	4.31183e+01	1.01546e-09	1.19292e+04	1.51874e+02
1.52583e+02	1.53336e+03	8.89018e-09	2.79755e-02	-4.16595e+05	4.28964e+01	1.02472e-09	1.16545e+04	1.52583e+02
1.53362e+02	1.54884e+03	8.78071e-09	2.73547e-02	-4.12444e+05	4.23682e+01	1.03507e-09	1.12823e+04	1.53362e+02
1.54167e+02	1.56493e+03	8.75492e-09	2.69940e-02	-4.08212e+05	4.22438e+01	1.04582e-09	1.10193e+04	1.54167e+02
1.54959e+02	1.58120e+03	8.65127e-09	2.64000e-02	-4.04025e+05	4.17437e+01	1.05670e-09	1.06662e+04	1.54959e+02
