PMN_25um, 20.5.2021, 17:50
Fixed value(s) :  Freq. [Hz]=1.172e+06  AC Volt  [Vrms]=1.000e-01
 Temp. [K]	 Eps'    	 Eps''   	 Sig' [S/cm]	Tan(Delta)  	 Zp' [Ohms]	 Sig'' [S/cm]	M Time M[s]	  Cp' [F]
3.48802e+02	9.56149e+01	2.37047e+00	1.54541e-06	2.47918e-02	5.14927e+04	-6.16836e-05	3.99757e+04	1.06386e-10
3.47121e+02	9.59598e+01	2.31291e+00	1.50789e-06	2.41029e-02	5.27742e+04	-6.19085e-05	4.00938e+04	1.06770e-10
3.43105e+02	9.60037e+01	2.20106e+00	1.43497e-06	2.29268e-02	5.54558e+04	-6.19371e-05	4.02113e+04	1.06819e-10
3.39096e+02	9.59971e+01	2.09295e+00	1.36449e-06	2.18022e-02	5.83205e+04	-6.19328e-05	4.03364e+04	1.06811e-10
3.35125e+02	9.59556e+01	2.07952e+00	1.35573e-06	2.16717e-02	5.86972e+04	-6.19058e-05	4.04586e+04	1.06765e-10
3.31217e+02	9.59046e+01	2.03418e+00	1.32617e-06	2.12104e-02	6.00055e+04	-6.18725e-05	4.05773e+04	1.06708e-10
3.27336e+02	9.58266e+01	1.89766e+00	1.23717e-06	1.98030e-02	6.43224e+04	-6.18216e-05	4.06945e+04	1.06622e-10
3.23509e+02	9.57217e+01	1.92964e+00	1.25802e-06	2.01589e-02	6.32561e+04	-6.17533e-05	4.08097e+04	1.06505e-10
3.19808e+02	9.55703e+01	1.89908e+00	1.23809e-06	1.98710e-02	6.42743e+04	-6.16546e-05	4.09218e+04	1.06336e-10
3.16031e+02	9.52909e+01	1.83198e+00	1.19435e-06	1.92251e-02	6.66284e+04	-6.14724e-05	4.10348e+04	1.06026e-10
3.11153e+02	1.01318e+01	6.52055e-02	4.25103e-08	6.43574e-03	1.87196e+06	-5.95341e-06	4.11811e+04	1.12731e-11
3.06118e+02	1.00543e+01	6.03866e-02	3.93687e-08	6.00604e-03	2.02134e+06	-5.90291e-06	4.13319e+04	1.11870e-11
